15,80,26,50
45,9,92,85
44,31,81,21
29,50,7,92
99,89,8,25
32,1,8,44
75,50,45,14
7,9,90,61
57,82,78,12
29,65,32,39
86,18,71,78
85,31,74,29
26,87,54,63
50,91,15,16
5,94,11,97
45,87,7,73
18,46,3,86
65,96,76,62
80,1,18,21
70,27,4,14
8,50,25,65
74,38,43,13
57,18,72,30
12,3,72,67
65,35,55,75
92,76,17,91
70,36,34,89
42,45,39,45
99,94,23,93
79,68,30,16
23,18,21,54
11,45,62,12
79,53,1,39
97,51,62,96
28,52,38,74
87,18,3,81
59,52,22,30
49,73,34,37
49,74,46,98
14,51,26,38
23,27,25,83
35,27,66,21
7,80,51,78
41,69,8,91
64,58,77,64
42,89,36,69
32,80,61,10
1,47,56,91
5,46,4,71
50,25,74,38
11,64,46,80
16,26,64,35
97,53,18,69
13,36,27,77
83,69,92,87
61,10,47,46
52,76,78,98
3,29,68,27
62,90,9,60
18,24,89,13
36,47,2,53
23,77,83,41
68,85,99,3
74,63,49,63
86,38,85,70
10,72,8,29
41,62,87,23
79,13,88,26
82,18,80,99
31,49,48,11
1,44,58,17
17,82,33,87
84,49,51,62
16,81,48,24
71,94,60,91
46,64,67,97
97,73,84,56
45,78,85,13
31,51,37,70
86,25,40,17
18,6,27,9
17,80,38,67
80,77,26,38
9,63,89,67
21,31,22,25
73,99,36,28
39,81,30,6
54,45,30,28
73,89,92,4
27,58,51,40
77,79,40,13
43,7,33,25
22,3,58,23
25,52,59,7
37,58,10,37
49,65,25,53
85,59,63,64
92,26,28,70
19,64,36,12
75,63,18,15
